Dia,Contagios 
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,4
53,2
54,1
55,0
56,2
57,0
58,2
59,1
60,0
61,1
62,4
63,2
64,9
65,27
66,28
67,60
68,49
69,36
70,68
71,91
72,98
73,107
74,100
75,66
76,48
77,129
78,164
79,140
80,172
81,209
82,155
83,141
84,305
85,276
86,316
87,299
88,334
89,218
90,218
91,530
92,442
93,509
94,404
95,477
96,397
97,422
98,803
99,822
100,848
101,857
102,998
103,702
104,638
105,1306
106,1264
107,1201
108,1289
109,1477
110,923
111,886
112,1648
113,1624
114,1636
115,1568
116,1144
117,1061
118,1007
119,2052
120,1616
121,1681
122,1605
123,1553
124,970
125,806
126,1722
127,1280
128,819
129,148
130,9
